100	99.317	99.318	99.320
99	73.614	99.376	99.445
98	74.574	99.329	99.398
97	75.534	99.281	99.350
96	76.654	99.234	99.303
95	77.614	99.345	99.414
94	78.574	99.297	99.366
93	79.533	99.258	99.326
92	80.653	99.369	99.438
91	81.613	99.321	99.390
90	82.573	99.274	99.342
89	83.533	98.905	99.453
88	84.653	98.465	99.406
87	85.612	98.121	99.358
86	85.922	97.546	99.319
85	85.759	97.013	99.429
84	85.986	96.880	99.382
83	85.986	96.276	99.335
82	85.986	96.115	99.445
81	85.986	95.724	99.398
80	85.986	95.530	99.359
79	85.986	95.115	98.987
78	85.986	95.107	98.860
77	85.986	94.675	98.365
76	85.986	94.513	97.994
75	85.986	94.565	97.730
74	85.986	93.940	97.470
73	85.986	93.933	97.281
72	85.986	93.930	97.021
71	85.986	93.567	96.681
70	85.986	93.342	96.741
69	85.986	93.347	96.197
68	85.986	93.310	96.199
67	85.986	93.026	96.124
66	85.986	92.733	95.716
65	85.986	92.753	95.641
64	85.986	92.744	95.637
63	85.986	92.727	95.164
62	85.986	92.205	95.143
61	85.986	92.165	95.135
60	85.986	92.145	94.937
59	85.986	92.158	94.603
58	85.986	92.163	94.600
57	85.986	92.161	94.583
56	85.986	91.714	94.571
55	85.986	91.576	94.270
54	85.986	91.552	94.092
53	85.986	91.570	94.090
52	85.986	91.559	94.078
51	85.986	91.567	94.073
50	85.986	91.539	93.796
49	85.986	91.507	93.574
48	85.986	91.146	93.539
47	85.986	91.069	93.568
46	85.986	90.979	93.540
45	85.986	90.974	93.547
44	85.986	90.948	93.408
43	85.986	90.969	93.225
42	85.986	90.957	93.025
41	85.986	90.967	93.031
40	85.986	90.973	93.030
39	85.986	90.959	93.027
38	85.986	90.724	93.021
37	85.986	90.664	93.017
36	85.986	90.427	92.923
35	85.986	90.364	92.835
34	85.986	90.360	92.522
33	85.986	90.373	92.505
32	85.986	90.364	92.483
31	85.986	90.384	92.501
30	85.986	90.369	92.504
29	85.986	90.361	92.487
28	85.986	90.373	92.507
27	85.986	90.362	92.515
26	85.986	90.379	92.518
25	85.986	90.376	92.459
24	85.986	90.297	92.269
23	85.986	90.277	92.238
22	85.986	90.126	92.055
21	85.986	90.022	92.031
20	85.986	89.892	91.969
19	85.986	89.780	91.975
18	85.986	89.781	91.958
17	85.986	89.767	91.976
16	85.986	89.772	91.954
15	85.986	89.771	91.974
14	85.986	89.771	91.977
13	85.986	89.785	91.953
12	85.986	89.783	91.976
11	85.986	89.782	91.966
10	85.986	89.785	91.935
