1	98.650	99.385
2	97.984	99.385
3	97.317	99.377
4	96.651	99.369
5	95.984	99.354
6	95.317	99.353
7	94.651	99.345
8	93.984	99.338
9	93.318	99.353
10	92.651	99.354
11	91.897	99.321
12	91.310	99.306
13	90.428	99.353
14	89.772	99.290
15	89.278	99.353
16	87.969	99.338
17	86.580	99.376
18	85.255	99.353
19	83.866	99.265
20	82.573	99.274
21	81.232	99.234
22	79.843	99.320
23	78.590	99.376
24	77.304	99.211
25	75.987	99.196
26	74.638	99.353
27	73.257	99.282
28	71.844	99.178
29	70.631	99.274
30	69.162	99.351
31	67.909	99.171
32	66.640	99.211
33	65.090	99.232
34	63.781	99.240
35	62.456	99.232
36	61.115	99.209
37	59.758	99.169
38	58.385	99.113
39	57.308	99.353
40	55.911	99.274
41	54.498	99.178
42	53.068	99.066
43	51.967	99.282
44	50.514	99.146
45	49.045	99.350
46	47.928	99.195
47	46.435	99.019
48	45.310	99.211
49	43.793	99.011
50	42.660	99.196
51	41.118	99.374
52	39.977	99.148
53	38.412	99.319
54	37.263	99.068
55	35.674	99.231
56	34.517	98.957
57	32.904	99.111
58	31.739	99.271
59	30.574	98.966
60	28.929	99.112
61	27.755	99.263
62	26.582	98.926
